1.64110000E-01	8.33453193E+03	-2.28541922E+03
2.28000000E-01	7.94840187E+03	-2.10466244E+03
3.16850000E-01	7.50450926E+03	-1.96564620E+03
4.40260000E-01	7.17963184E+03	-1.82031380E+03
6.11730000E-01	6.82212370E+03	-1.70584898E+03
8.50000000E-01	6.46791214E+03	-1.59600908E+03
1.18110000E+00	6.16970464E+03	-1.47944183E+03
1.64110000E+00	5.94782158E+03	-1.36909758E+03
2.28030000E+00	5.67230982E+03	-1.25519215E+03
3.16850000E+00	5.43991925E+03	-1.16025104E+03
4.40260000E+00	5.21646865E+03	-1.06126891E+03
6.11730000E+00	5.00433777E+03	-9.59272845E+02
8.50000000E+00	4.82062428E+03	-8.80528875E+02
1.18110000E+01	4.66657598E+03	-7.99469559E+02
1.64110000E+01	4.52281704E+03	-7.21903075E+02
2.28030000E+01	4.41092990E+03	-6.53132226E+02
3.16850000E+01	4.29690812E+03	-5.94272514E+02
4.40260000E+01	4.20343063E+03	-5.34836740E+02
6.11730000E+01	4.09408816E+03	-4.89862902E+02
8.50000000E+01	4.01247672E+03	-4.49408577E+02
1.18110000E+02	3.93146648E+03	-4.19110527E+02
1.64110000E+02	3.85662973E+03	-3.94403128E+02
2.28030000E+02	3.77402909E+03	-3.65724460E+02
3.16850000E+02	3.70773363E+03	-3.39022934E+02
4.40260000E+02	3.64173344E+03	-3.17080334E+02
6.11730000E+02	3.58068604E+03	-3.00562826E+02
8.50000000E+02	3.54899734E+03	-2.82428541E+02
1.18110000E+03	3.47211744E+03	-2.70111922E+02
1.64110000E+03	3.42219247E+03	-2.55908190E+02
2.28030000E+03	3.37384482E+03	-2.46408781E+02
3.16850000E+03	3.33029421E+03	-2.45658928E+02
4.40260000E+03	3.28696396E+03	-2.41913631E+02
6.11730000E+03	3.23992983E+03	-2.46646238E+02
8.50000000E+03	3.19788268E+03	-2.52903420E+02
1.18110000E+04	3.16142573E+03	-2.57622725E+02
1.64110000E+04	3.09752322E+03	-2.74144427E+02
2.28030000E+04	3.06320491E+03	-3.10331502E+02
3.16850000E+04	3.01342149E+03	-3.56653453E+02
4.40260000E+04	2.95790531E+03	-4.14937414E+02
6.11730000E+04	2.87410151E+03	-4.86739094E+02
8.50000000E+04	2.77359928E+03	-5.80517367E+02
1.18110000E+05	2.63627578E+03	-6.77270727E+02
1.64110000E+05	2.44915234E+03	-7.71040231E+02
2.28030000E+05	2.21968073E+03	-8.29030257E+02
3.16850000E+05	1.95362330E+03	-8.30209818E+02
4.40260000E+05	1.70076896E+03	-7.61226661E+02
6.11730000E+05	1.48174309E+03	-6.21090997E+02
8.50000000E+05	1.32943924E+03	-4.36903286E+02
